title,author,series_name,series_index,isbn13,isbn10,publication_month_year,distribution_royalty_percent,hand_sold_royalty_percent,cover_price,print_cost,cover_image
"The Long Way to a Small, Angry Planet",Becky Chambers,Wayfarers,1,9780062444134,0062444131,July 2014,50,20,14.99,6.00,9780062444134.jpg
A Closed and Common Orbit,Becky Chambers,Wayfarers,2,9780062444141,006244414X,October 2016,50,20,12.99,5.00,
Record of a Spaceborn Few,Becky Chambers,Wayfarers,3,9780062699220,0062699229,July 2018,50,20,13.99,5.50,9780062699220.png
"The Galaxy, and the Ground Within",Becky Chambers,Wayfarers,4,9780062699237,0062699237,February 2021,50,20,14.99,6.00,
All Systems Red,Martha Wells,The Murderbot Diaries,1,9780765397539,0765397536,May 2017,50,20,9.99,4.00,9780765397539.jpg
Artificial Condition,Martha Wells,The Murderbot Diaries,2,9780765397546,0765397544,August 2018,50,20,14.99,6.00,
Rogue Protocol,Martha Wells,The Murderbot Diaries,3,9780765397553,0765397552,August 2018,50,20,12.99,5.50,
Ancillary Justice,Ann Leckie,,,9780316246620,0316246622,October 2013,50,20,10.99,4.50,
The Hobbit, J.R.R. Tolkien,,,9780547928227,054792822X,August 1937,50,20,9.99,4.00,9780547928227.gif
The Fellowship of the Ring,J.R.R. Tolkien,The Lord of the Rings,1,9780547928210,0547928211,July 1954,50,20,18.99,10.00,9780547928210.gif
The Two Towers,J.R.R. Tolkien,The Lord of the Rings,2,9780547928203,0547928203,November 1954,50,20,16.99,9.20,9780547928203.webp
The Return of the King,J.R.R. Tolkien,The Lord of the Rings,3,9780547928197,054792819X,October 1955,50,20,19.99,10.20,9780547928197.png
The Martan,Andy Weir,,,9780553418026,0553418025,February 2014,50,20,9.99,3.00,9780553418026.webp
Ready Player One,Ernest Cline,,,9780307887436,030788743X,August 2011,60,25,12.99,4.00,9780307887436.jpg
The Hitchhiker's Guide to the Galaxy,Douglas Adams,,,9780345391803,0345391802,October 1979,50,20,7.50,2.00,9780345391803.png
The Night Circus,Erin Morgenstern,,,9780307744432,0307744434,September 2011,50,20,10.99,4.00,9780307744432.jxl
