isbn13,source,record_month_year,units_sold,total_revenue,royalty_paid,comment
9780062444141,handsold,October 2024,21,,y,
9780307744432,handsold,April 2025,31,,y,
9780765397553,distributor,September 2023,47,382.03,y,recalled for misprints
9780307744432,handsold,October 2025,21,,n,
9780765397553,distributor,June 2023,39,299.04,y,
9780345391803,handsold,July 2024,31,,y,sales from bookcon
9780062699237,handsold,November 2025,22,,n,
9780345391803,handsold,December 2023,41,,y,
9780765397539,distributor,December 2024,27,168.00,y,
9780765397546,handsold,September 2024,8,,y,
9780062444134,distributor,April 2023,26,233.74,y,
9780062444134,distributor,July 2024,35,314.65,y,
9780547928210,distributor,July 2025,22,197.78,n,
9780307887436,distributor,April 2023,24,215.76,y,
9780345391803,handsold,August 2025,15,,n,
9780345391803,distributor,August 2024,24,132.00,y,
9780547928203,handsold,October 2025,38,,n,
9780547928210,distributor,February 2025,28,251.72,y,
9780062444134,handsold,July 2024,33,,y,sales from bookcon
9780765397546,distributor,August 2023,36,323.64,y,
